date,cash,value
2026-04-28,1037345.0035372808,1911140.2392283515
2026-04-29,1037345.0035372808,1913230.642346485
2026-04-30,1037345.0035372808,1912981.0435267524
2026-04-30,1037345.0035372808,1912981.0435267524
2026-05-04,1037345.0035372808,1915639.0033198432
2026-05-05,835610.3321416972,1925706.1987417338
2026-05-06,835610.3321416972,1952045.9762418864
2026-05-07,962258.6283035646,1969688.289451636
2026-05-08,1090286.1496658693,1974679.7148552309
2026-05-11,1090286.1496658693,1977544.3436775575
2026-05-12,1216152.1496658693,1964036.368923224
2026-05-13,1216152.1496658693,1954658.8995743166
2026-05-14,1216152.1496658693,1961816.8624496828
2026-05-15,1216152.1496658693,1955273.7520218263
2026-05-18,1216152.1496658693,1937730.1495743166
2026-05-20,1216152.1496658693,1930766.5144615541
2026-05-21,1216152.1496658693,1888346.9928551088
2026-05-22,1301737.6496658693,1912915.1169357668
2026-05-25,1301737.6496658693,1914817.3122749696
2026-05-26,1301737.6496658693,1921929.2486648927
