factor,signal_date,date,n_stocks,raw_ic,rank_ic
momentum,2013-09-30,2013-10-31,71,-0.24256979236552925,-0.20473008661087194
momentum,2013-10-31,2013-11-30,71,0.2996328647748919,0.3260590715999195
momentum,2013-11-30,2013-12-31,71,0.1896851890350816,0.2038229376257545
momentum,2013-12-31,2014-01-31,71,0.16021657753237575,0.12421193829644533
momentum,2014-01-31,2014-02-28,71,-0.24410203229725871,-0.10390743060752654
momentum,2014-02-28,2014-03-31,71,-0.3016313322933982,-0.171495640509725
momentum,2014-03-31,2014-04-30,71,-0.2730184841428893,-0.24906103286384973
momentum,2014-04-30,2014-05-31,72,-0.22101238634864853,-0.2996977297575407
momentum,2014-05-31,2014-06-30,71,0.4052833062155669,0.3712608987256874
momentum,2014-06-30,2014-07-31,71,0.1481896685914288,0.08219591540220152
momentum,2014-07-31,2014-08-31,73,-0.11170237648175003,-0.041158865836751476
momentum,2014-08-31,2014-09-30,73,0.44326889956108595,0.25697272615080835
momentum,2014-09-30,2014-10-31,73,0.16689675207073687,-0.02060965074663705
momentum,2014-10-31,2014-11-30,73,-0.34413376994681144,-0.18098235221522893
momentum,2014-11-30,2014-12-31,73,-0.02173449980382717,0.08756083827884711
momentum,2014-12-31,2015-01-31,73,0.02821768865235489,0.2493520918178453
momentum,2015-01-31,2015-02-28,73,0.13606414074601836,-0.16987535480686167
momentum,2015-02-28,2015-03-31,73,-0.023632508411435542,0.17721831420461562
momentum,2015-03-31,2015-04-30,73,-0.21470019460082918,-0.14180370868493988
momentum,2015-04-30,2015-05-31,73,0.12008266327489113,0.15244353942984082
momentum,2015-05-31,2015-06-30,73,0.31849329294803014,0.36487612247782836
momentum,2015-06-30,2015-07-31,73,0.2958170509720325,0.2310872516351969
momentum,2015-07-31,2015-08-31,73,-0.19772016519140703,-0.022152289275576952
momentum,2015-08-31,2015-09-30,73,-0.08562046115266013,0.09072957030340975
momentum,2015-09-30,2015-10-31,73,-0.14089876964839054,-0.09703495731378066
momentum,2015-10-31,2015-11-30,73,0.10963623652636788,0.0826243569100608
momentum,2015-11-30,2015-12-31,73,0.1076434953654708,0.018388251264963594
momentum,2015-12-31,2016-01-31,73,0.1695208634914187,0.1697532530691391
momentum,2016-01-31,2016-02-29,73,-0.07244868180201941,-0.06528647684450235
momentum,2016-02-29,2016-03-31,73,-0.1824862721960083,-0.11643835616438357
momentum,2016-03-31,2016-04-30,73,-0.09563383448086733,-0.04254597062816241
momentum,2016-04-30,2016-05-31,73,0.25761382491418816,0.23494566014567328
momentum,2016-05-31,2016-06-30,73,0.25671136055059196,0.29840799703813403
momentum,2016-06-30,2016-07-31,73,0.1613216169475402,0.20717635443662843
momentum,2016-07-31,2016-08-31,73,-0.0023126272226205594,0.0033784044367631285
momentum,2016-08-31,2016-09-30,73,-0.057064377865799695,0.005923914723130648
momentum,2016-09-30,2016-10-31,73,-0.3056258075987553,-0.2850796001480933
momentum,2016-10-31,2016-11-30,73,0.12319782513284361,0.09224978403060598
momentum,2016-11-30,2016-12-31,73,0.1636866873375266,0.044952486733308664
momentum,2016-12-31,2017-01-31,73,0.31357482258336694,0.10175243736887574
momentum,2017-01-31,2017-02-28,73,0.2202504972660146,0.23824804526365526
momentum,2017-02-28,2017-03-31,73,0.2573133128523788,0.3337035665802789
momentum,2017-03-31,2017-04-30,73,0.08136882339164164,0.1849932123904727
momentum,2017-04-30,2017-05-31,73,0.04319744642040857,0.003517324366858822
momentum,2017-05-31,2017-06-30,73,-0.12005968455153081,-0.12304179811699868
